Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
SPY,SPDR S&P 500 ETF Trust,Equity,"$373,056,000,000.00",-11.85%,"102,841,184",$417.39,1.90%,No,False,2.98%,1.31%,0.61%,59.28%,87.16%,"-$22,095,740,632.05","-$3,782,876,593.70","$4,432,996,019.55","$22,962,824,709.50","$7,966,010,989.25","-$10,951,255,446.10",Large Cap Growth Equities,1993-01-22,0.09%,N/A,$5.66,2021-09-17,$1.43,1.22%,21.70,0.99,507,26.83%,40%,20%,1099,$384.66,$418.74,$410.47,$420.87,51.39,A+,A,B+,B,A-,B+,8.06,68.18%,71.77%,150.02,6.96%,5.65%
IVV,iShares Core S&P 500 ETF,Equity,"$300,059,000,000.00",-11.81%,"6,824,813",$419.26,1.88%,No,False,3.00%,1.38%,0.66%,59.69%,88.20%,"$11,220,711,985.00","$2,219,271,820.00","$9,151,386,350.00","$28,571,821,125.00","$49,377,549,560.00","$89,242,599,450.00",Large Cap Growth Equities,2000-05-15,0.03%,3 Platforms,$5.84,2021-09-24,$1.69,1.25%,33.23,0.99,507,26.82%,40%,20%,1099,$386.06,$420.68,$412.30,$422.75,51.42,A,A,A-,B,A,A-,8.06,67.75%,71.67%,150.12,6.95%,5.64%
VTI,Vanguard Total Stock Market ETF,Equity,"$263,848,000,000.00",-13.09%,"4,755,389",$209.18,2.04%,No,False,3.08%,1.11%,-3.01%,55.92%,82.30%,"$10,739,103,562.92","$129,163,862.89","$169,232,544.10","$38,130,272,789.27","$98,887,083,411.72","$117,099,178,757.77",Large Cap Growth Equities,2001-05-24,0.03%,2 Platforms,$2.85,2021-09-24,$0.72,1.19%,23.40,1.03,4076,23.06%,40%,20%,1099,$192.01,$209.80,$205.72,$210.92,51.21,A+,A,B+,B+,A-,A+,7.68,36.83%,62.54%,150.27,6.35%,5.79%
VOO,Vanguard S&P 500 ETF,Equity,"$259,416,000,000.00",-11.83%,"5,971,486",$383.65,1.90%,No,False,3.00%,1.31%,0.63%,59.52%,87.78%,"$19,020,968,319.16","$1,289,944,819.31","$4,094,316,790.25","$41,828,057,207.97","$93,109,224,677.68","$120,779,909,968.95",Large Cap Growth Equities,2010-09-07,0.03%,Vanguard,$5.29,2021-09-29,$1.31,1.24%,24.30,0.99,506,27.55%,40%,20%,1099,$353.35,$385.02,$377.32,$386.86,51.39,A,A,B+,B,A-,A-,8.06,67.40%,71.62%,150.21,6.93%,5.63%
QQQ,Invesco QQQ Trust,Equity,"$165,053,000,000.00",-20.88%,"79,957,088",$314.38,2.74%,No,False,5.03%,0.36%,-5.27%,84.30%,129.95%,"-$2,099,478,400.00","-$1,872,246,350.00","-$1,017,260,450.00","$20,757,591,850.00","$41,587,448,400.00","$45,694,673,900.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.77,2021-09-20,$0.41,0.45%,30.43,1.03,103,51.49%,40%,20%,1099,$282.60,$316.13,$307.00,$318.16,50.22,A+,A-,A-,C+,B,B,7.99,59.66%,69.84%,54.57,2.03%,7.53%
VTV,Vanguard Value ETF,Equity,"$101,603,000,000.00",-1.48%,"3,289,760",$144.17,0.85%,No,False,0.84%,2.47%,5.02%,49.64%,70.50%,"$11,732,782,384.51","$389,736,703.11","$1,448,013,387.42","$17,945,153,626.24","$35,803,142,212.61","$47,816,718,782.64",Large Cap Blend Equities,2004-01-26,0.04%,2 Platforms,$3.04,2021-09-24,$0.80,2.10%,17.00,0.97,351,21.34%,40%,20%,1099,$135.97,$145.29,$142.33,$145.10,52.56,A,A,A-,B+,B+,A-,7.7,38.37%,63.09%,251.71,12.89%,4.50%
VEA,Vanguard FTSE Developed Markets ETF,Equity,"$101,382,000,000.00",-9.66%,"22,357,834",$46.05,2.11%,No,False,1.97%,2.86%,-10.31%,25.83%,27.31%,"$4,286,871,019.03","$2,048,880.22","$9,034,258.14","$15,282,741,046.89","$25,144,009,513.63","$43,590,627,368.41",Foreign Large Cap Equities,2007-07-20,0.05%,2 Platforms,$1.26,2021-09-20,$0.20,2.41%,14.10,0.87,4106,11.91%,40%,20%,1099,$42.13,$46.17,$45.54,$46.30,54.20,A,A,A-,B,A-,A,8.74,50.12%,85.29%,158.02,9.82%,7.24%
IEFA,iShares Core MSCI EAFE ETF,Equity,"$94,219,700,000.00",-10.79%,"16,757,443",$66.59,2.07%,No,False,1.62%,2.75%,-11.06%,22.36%,24.00%,"$3,239,729,460.00",$0.00,"-$320,322,080.00","$13,180,714,500.00","$27,708,935,880.00","$67,365,436,920.00",Foreign Large Cap Equities,2012-10-18,0.07%,Fidelity,$1.70,2021-06-10,$1.09,2.21%,20.61,0.84,3055,12.04%,40%,20%,1099,$60.93,$66.89,$65.86,$66.95,53.86,A,A,N/A,B+,B+,A,8.79,53.57%,86.28%,132.31,10.94%,8.25%
VWO,Vanguard FTSE Emerging Markets ETF,Equity,"$74,317,400,000.00",-10.52%,"20,458,404",$44.13,1.80%,No,False,3.64%,1.59%,-17.77%,17.90%,22.90%,"$3,224,690,806.17","$932,564.52","$2,040,740.50","$8,814,432,331.50","$11,991,097,913.68","$18,884,977,911.36",Emerging Markets Equities,2005-03-04,0.08%,3 Platforms,$1.12,2021-09-20,$0.47,2.17%,7.00,0.78,4451,20.65%,40%,20%,1099,$40.18,$43.93,$43.68,$44.36,54.02,A,A,B+,B,B+,A+,5.4,22.75%,28.01%,388.76,2.66%,5.15%
VUG,Vanguard Growth ETF,Equity,"$72,199,800,000.00",-22.19%,"1,339,243",$249.42,3.10%,No,False,5.33%,-0.46%,-7.25%,66.29%,102.75%,"$4,316,636,503.63","$353,708,697.01","$1,372,402,504.94","$6,807,065,814.97","$11,782,397,239.57","$16,343,195,368.65",Large Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$1.53,2021-09-24,$0.32,0.49%,37.80,1.03,268,49.56%,40%,20%,1099,$222.79,$250.17,$243.14,$252.59,50.22,A,A,B,B+,A-,A,8.23,76.99%,75.48%,44.84,0.91%,6.93%
IEMG,iShares Core MSCI Emerging Markets ETF,Equity,"$69,826,100,000.00",-11.26%,"20,643,972",$53.12,1.74%,No,False,3.57%,1.67%,-19.72%,17.52%,20.81%,"$2,945,459,160.00",$0.00,$0.00,"$5,906,392,380.00","$13,794,667,380.00","$41,677,294,320.00",Emerging Markets Equities,2012-10-18,0.09%,Fidelity,$1.19,2021-06-10,$0.47,1.88%,18.63,0.81,2551,20.12%,40%,20%,1099,$48.34,$52.92,$52.57,$53.40,53.95,A,A,B+,B+,B,A,5.47,25.98%,28.60%,349.06,3.00%,5.12%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$65,387,800,000.00",-9.94%,"4,941,634",$102.97,1.95%,No,False,2.90%,3.57%,-8.68%,47.12%,59.00%,"-$946,223,800.00","$172,369,150.00","-$1,426,739,995.00","$2,414,770,035.00","$8,629,948,650.00","$19,020,494,165.00",Small Cap Blend Equities,2000-05-22,0.06%,2 Platforms,$1.27,2021-09-24,$0.50,1.06%,21.71,1.23,603,7.13%,40%,20%,1099,$93.50,$102.70,$101.54,$103.70,53.78,A,A-,B+,B+,B+,B+,5.26,20.82%,26.97%,134.44,3.12%,7.15%
VIG,Vanguard Dividend Appreciation ETF,Equity,"$63,303,100,000.00",-9.60%,"1,498,571",$154.60,1.68%,No,False,1.74%,0.48%,1.42%,50.49%,81.32%,"$1,463,525,615.37","$164,766,732.66","$570,010,786.29","$5,051,621,092.06","$14,919,212,689.23","$19,354,081,083.37",Large Cap Growth Equities,2006-04-21,0.06%,3 Platforms,$2.55,2021-09-20,$0.70,1.53%,23.20,0.86,291,29.46%,40%,20%,1099,$144.87,$155.78,$152.26,$155.79,51.33,A,A,B,B+,B+,B,8.59,87.50%,82.74%,138.42,5.13%,3.66%
IWF,iShares Russell 1000 Growth ETF,Equity,"$61,696,100,000.00",-20.36%,"2,443,548",$243.02,2.85%,No,False,4.86%,-0.30%,-4.31%,67.91%,111.88%,"-$316,844,505.00","-$57,920,030.00","$1,082,619,810.00","$1,423,258,530.00","-$5,789,842,970.00","-$8,531,935,925.00",Large Cap Growth Equities,2000-05-22,0.19%,TD Ameritrade,$1.49,2021-09-24,$0.46,0.50%,45.87,1.03,499,46.66%,40%,20%,1099,$218.43,$244.33,$237.38,$245.89,50.23,A,A-,A-,A,A-,A,8.36,81.72%,78.16%,34.07,1.37%,7.09%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$61,512,700,000.00",-9.73%,"1,714,828",$254.72,2.28%,No,False,2.75%,2.19%,-5.31%,47.29%,57.20%,"$1,437,107,300.00","$163,906,765.00","$274,314,405.00","$2,613,719,270.00","-$25,504,020.00","$5,127,881,140.00",Mid Cap Growth Equities,2000-05-22,0.05%,2 Platforms,$3.04,2021-09-24,$0.98,1.05%,27.04,1.17,402,6.26%,40%,20%,1099,$232.08,$254.76,$250.84,$256.68,52.96,A,A,B-,B,B-,B+,6.46,60.34%,40.46%,203.88,3.90%,7.58%
IWD,iShares Russell 1000 Value ETF,Equity,"$55,349,600,000.00",-4.20%,"3,012,060",$160.19,1.17%,No,False,1.37%,2.40%,0.72%,43.27%,55.35%,"-$1,310,345,030.00","$40,867,330.00","$958,675,075.00","$1,649,130,460.00","$6,455,821,730.00","$4,112,707,570.00",Large Cap Blend Equities,2000-05-22,0.19%,TD Ameritrade,$2.61,2021-09-24,$0.81,1.57%,24.74,1.01,850,19.04%,40%,20%,1099,$149.74,$160.99,N/A,N/A,52.72,A,A-,B,B+,B,A,7.46,26.54%,57.44%,250.86,11.74%,4.63%
IWM,iShares Russell 2000 ETF,Equity,"$54,472,100,000.00",-14.98%,"31,820,436",$188.76,2.44%,No,False,3.31%,2.06%,-16.54%,34.19%,44.44%,"-$3,913,190,160.00","$90,813,940.00","-$123,479,075.00","-$2,177,185,115.00","$5,191,552,000.00","$7,374,939,405.00",Small Cap Growth Equities,2000-05-22,0.19%,N/A,$2.02,2021-09-24,$0.68,0.84%,21.00,1.22,2002,3.78%,40%,20%,1099,$170.21,$188.72,$185.70,$190.29,51.99,A+,A-,C,C+,B,A,5.22,19.05%,26.60%,160.2,3.18%,6.51%
VO,Vanguard Mid-Cap ETF,Equity,"$50,763,000,000.00",-13.12%,"944,638",$220.65,2.25%,No,False,2.66%,0.86%,-4.77%,47.36%,65.50%,"$1,835,330,007.71","$66,063,879.46","$381,356,319.06","$6,352,019,386.00","$15,273,302,264.51","$18,226,943,478.80",Mid Cap Growth Equities,2004-01-26,0.04%,2 Platforms,$2.88,2021-09-24,$0.62,1.12%,23.80,1.09,376,6.99%,40%,20%,1099,$201.99,$221.38,$217.20,$222.41,51.38,A,A,A-,A-,A,B-,7.89,94.95%,67.50%,257.54,4.74%,7.26%
EFA,iShares MSCI EAFE ETF,Equity,"$50,065,300,000.00",-10.13%,"33,030,032",$70.71,2.08%,No,False,1.61%,3.02%,-10.22%,21.93%,23.08%,"-$304,895,160.00",$0.00,$0.00,"$117,201,240.00","-$13,084,082,040.00","-$27,019,212,360.00",Foreign Large Cap Equities,2001-08-14,0.32%,N/A,$1.80,2021-06-10,$1.10,2.22%,21.11,0.83,831,14.17%,40%,20%,1099,$64.71,$71.04,$69.95,$71.10,54.11,A+,A-,A-,B,B+,A,9.16,79.72%,91.81%,126.05,12.15%,8.01%
VXUS,Vanguard Total International Stock ETF,Equity,"$49,529,600,000.00",-9.75%,"5,098,655",$57.28,1.99%,No,False,2.38%,2.54%,-12.16%,23.63%,25.68%,"$2,868,316,989.91","$12,890,261.32","$222,667,461.06","$10,010,285,647.86","$36,711,343,491.84","$40,808,486,659.45",Foreign Large Cap Equities,2011-01-26,0.07%,Vanguard,$1.62,2021-09-20,$0.36,2.46%,11.30,0.86,7809,11.47%,40%,20%,1099,$52.39,$57.31,$56.68,$57.59,54.30,A,A+,B+,B,A-,A,7.84,14.52%,66.41%,214.73,7.93%,6.68%
VYM,Vanguard High Dividend Yield Index ETF,Equity,"$46,130,700,000.00",0.03%,"2,056,388",$111.48,0.86%,No,False,0.84%,3.67%,6.92%,48.54%,66.27%,"$4,069,958,849.06","$214,391,380.72","$1,028,522,098.15","$6,906,387,430.45","$14,046,506,808.30","$17,743,489,865.13",Large Cap Blend Equities,2006-11-10,0.06%,2 Platforms,$2.97,2021-09-20,$0.75,2.69%,17.70,0.91,444,22.74%,40%,20%,1099,$104.85,$112.18,$110.06,$112.19,54.19,A,A,B+,A,A-,A-,8.03,55.45%,70.82%,308.32,9.96%,4.58%
VGT,Vanguard Information Technology ETF,Equity,"$44,260,300,000.00",-19.20%,"827,846",$369.60,2.75%,No,False,5.06%,0.65%,-0.13%,95.70%,167.38%,"$7,512,016.14","$407,521,250.00","$303,434,499.89","$2,394,143,901.34","$7,482,035,823.81","$8,184,222,347.71",Technology Equities,2004-01-26,0.10%,Vanguard,$2.79,2021-09-29,$0.89,0.63%,32.80,1.08,359,60.06%,40%,20%,1099,$329.77,$370.43,$360.52,$374.16,51.47,A,A,B-,A,A-,A+,10.0,100.00%,100.00%,21.3,0.22%,7.85%
XLE,Energy Select Sector SPDR Fund,Equity,"$43,673,100,000.00",60.69%,"38,586,492",$88.34,-0.32%,No,False,1.61%,17.55%,67.24%,79.42%,70.77%,"$988,116,482.40","$922,800,700.70","$1,041,871,317.90","$1,268,667,404.00","$12,676,793,962.60","$9,191,880,311.60",Energy Equities,1998-12-16,0.10%,N/A,$2.16,2021-09-20,$0.59,3.75%,16.64,1.66,23,75.81%,40%,20%,1099,$75.57,$90.18,N/A,N/A,63.61,A+,A,B,A,A-,B,7.47,33.33%,57.61%,644.6,0.00%,0.32%
